"@timestamp","message"
"2023-08-28T03:59:59.393Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1146203113211932672"
"2023-08-28T03:59:59.389Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1330315175370522624"
"2023-08-28T03:59:59.380Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1171605900751024128"
"2023-08-28T03:59:57.913Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1185376284967653376"
"2023-08-28T03:59:57.904Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1359673542383321088"
"2023-08-28T03:59:57.880Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1387197999452704768"
"2023-08-28T03:59:57.871Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1378416842994774016"
"2023-08-28T03:59:57.397Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1228761996308738048"
"2023-08-28T03:59:57.384Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1171636127669694464"
"2023-08-28T03:59:57.383Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1154859270911762432"
"2023-08-28T03:59:56.881Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1326668182816063488"
"2023-08-28T03:59:55.908Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1328790488604413952"
"2023-08-28T03:59:55.906Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1316105323834609664"
"2023-08-28T03:59:55.902Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1355302833787355136"
"2023-08-28T03:59:55.901Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1364745443014770688"
"2023-08-28T03:59:55.899Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1426252730836324352"
"2023-08-28T03:59:55.897Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1395831563365085184"
"2023-08-28T03:59:55.877Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1364736578760114176"
"2023-08-28T03:59:55.414Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1400876301372088320"
"2023-08-28T03:59:55.414Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1431694414187057152"
"2023-08-28T03:59:55.412Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1392174297868042240"
"2023-08-28T03:59:55.407Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1370818866283057152"
"2023-08-28T03:59:55.407Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1431695533135089664"
"2023-08-28T03:59:55.402Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1400957663894032384"
