"@timestamp","message"
"2023-08-29T04:12:48.582Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1100536841221226496"
"2023-08-29T04:12:48.575Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1161809603399032832"
"2023-08-29T04:12:44.063Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1161809558796562432"
"2023-08-29T04:12:37.744Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 994010643072991232"
"2023-08-29T04:12:36.947Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1161811113574965248"
"2023-08-29T04:12:34.509Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1190446389032120320"
"2023-08-29T04:12:28.534Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1161810297375748096"
"2023-08-29T04:12:28.534Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1418281798481076224"
"2023-08-29T04:12:24.571Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 994010215050809344"
"2023-08-29T04:12:23.636Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1113616424182067200"
"2023-08-29T04:12:17.510Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1161812587876773888"
"2023-08-29T04:12:12.537Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1124798889904734208"
"2023-08-29T04:12:05.423Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1124479330054184960"
"2023-08-29T04:12:05.422Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 994010992578301952"
"2023-08-29T04:12:03.512Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1124479249951367168"
"2023-08-29T04:11:57.411Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1124479158284853248"
"2023-08-29T04:11:57.410Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1124798952278228992"
"2023-08-29T04:11:44.398Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1124479087862489088"
"2023-08-29T04:11:44.398Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1161811372892004352"
"2023-08-29T04:11:40.780Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -351340188657890982"
"2023-08-29T04:11:38.984Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 883117660100124672"
"2023-08-29T04:11:38.983Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1161812897970057216"
"2023-08-29T04:11:36.256Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1161811105006002176"
"2023-08-29T04:11:34.416Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1124479311314034688"
"2023-08-29T04:11:25.008Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1161812613025820672"
"2023-08-29T04:11:25.007Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1059985483474157568"
