"@timestamp","message"
"2023-08-28T23:48:14.622Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1243268927570206720"
"2023-08-28T23:48:14.559Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -5767469538829691744"
"2023-08-28T23:48:14.544Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 3731269946527706923"
"2023-08-28T23:48:14.465Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -5231498373066243897"
"2023-08-28T23:48:14.450Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 4693332000851043070"
"2023-08-28T23:48:14.434Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 6538948135868226547"
"2023-08-28T23:48:14.403Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 903415192432562176"
"2023-08-28T23:48:14.403Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 887750515650187264"
"2023-08-28T23:48:14.372Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 876562798618923008"
"2023-08-28T23:48:14.356Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 876573333724909568"
"2023-08-28T23:48:14.325Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -4664344632345081032"
"2023-08-28T23:48:14.325Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -6973260654598365169"
"2023-08-28T23:48:14.294Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -7549209066335310035"
"2023-08-28T23:48:14.278Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1431694414187057152"
"2023-08-28T23:48:14.247Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1052597208582696864"
"2023-08-28T23:48:14.247Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1242954025199202304"
"2023-08-28T23:48:14.231Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 8279737640166508676"
"2023-08-28T23:48:14.231Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 8792024790020424972"
"2023-08-28T23:48:14.153Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -6880016264814859356"
"2023-08-28T23:48:14.122Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 876573810202038272"
"2023-08-28T23:48:14.122Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 876563463760039936"
"2023-08-28T23:48:14.090Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -1714548206601153489"
"2023-08-28T23:48:14.090Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -7107554261249134384"
"2023-08-28T23:48:14.090Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 3056917746088223370"
"2023-08-28T23:48:14.059Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -1801150807464482329"
"2023-08-28T23:48:14.044Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -6046712088468703151"
"2023-08-28T23:48:13.997Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 8280386157773174560"
"2023-08-28T23:48:13.997Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1199171724857906167"
"2023-08-28T23:48:13.981Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1171605900751024128"
"2023-08-28T23:48:13.950Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1243323671036133376"
"2023-08-28T23:48:13.934Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 5178551384097918436"
"2023-08-28T23:48:13.919Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -8855274534670356739"
"2023-08-28T23:48:13.903Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 3744982922611852098"
"2023-08-28T23:48:13.887Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -4739569096431270942"
"2023-08-28T23:48:13.887Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -563295055051394035"
"2023-08-28T23:48:13.872Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 8488945698613806458"
"2023-08-28T23:48:13.809Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 860911951203454976"
