"@timestamp","message"
"2023-08-24T07:39:11.970Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -3696547795134358590"
"2023-08-24T07:39:11.969Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -6046712088468703151"
"2023-08-24T07:39:11.103Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1400960057381998592"
"2023-08-24T07:39:09.601Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 3731269946527706923"
"2023-08-24T07:39:09.600Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1243323671036133376"
"2023-08-24T07:39:09.599Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 3056917746088223370"
"2023-08-24T07:39:09.597Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 876563463760039936"
"2023-08-24T07:39:09.596Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1242957745836257280"
"2023-08-24T07:39:09.595Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1171605900751024128"
"2023-08-24T07:39:09.591Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -5231498373066243897"
"2023-08-24T07:39:09.099Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1394733806574227456"
"2023-08-24T07:39:07.304Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -4041424788138260115"
"2023-08-24T07:39:07.295Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 5178551384097918436"
"2023-08-24T07:39:05.818Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -4664344632345081032"
"2023-08-24T07:39:05.816Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -4739569096431270942"
"2023-08-24T07:39:05.814Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1242954025199202304"
"2023-08-24T07:39:05.812Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 2481580436684335345"
"2023-08-24T07:39:05.797Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -3569917599332248240"
"2023-08-24T07:39:05.794Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 6538948135868226547"
"2023-08-24T07:39:05.331Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 3744982922611852098"
"2023-08-24T07:39:03.808Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 3348702057979964750"
"2023-08-24T07:39:03.806Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 876562798618923008"
"2023-08-24T07:39:03.806Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 887750515650187264"
"2023-08-24T07:39:03.805Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 8280386157773174560"
"2023-08-24T07:39:03.804Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -1714548206601153489"
"2023-08-24T07:39:03.803Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 8279737640166508676"
"2023-08-24T07:39:03.802Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -5268977814113678539"
"2023-08-24T07:39:03.800Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 8792024790020424972"
