"@timestamp","message"
"2023-08-24T01:34:55.785Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1242954025199202304"
"2023-08-24T01:34:49.667Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 2481580436684335345"
"2023-08-24T01:34:48.168Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 903415192432562176"
"2023-08-24T01:34:48.167Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 876562798618923008"
"2023-08-24T01:34:48.162Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 860664519054716928"
"2023-08-24T01:34:48.158Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1171605900751024128"
"2023-08-24T01:34:48.156Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 860911951203454976"
"2023-08-24T01:34:48.153Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1243268927570206720"
"2023-08-24T01:34:48.150Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1243323671036133376"
"2023-08-24T01:34:48.147Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 887750515650187264"
"2023-08-24T01:34:47.659Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1400960057381998592"
"2023-08-24T01:34:46.146Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -3569917599332248240"
"2023-08-24T01:34:46.131Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1242957745836257280"
"2023-08-24T01:34:46.129Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -3358531003331971397"
"2023-08-24T01:34:46.128Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -8350495493145261616"
"2023-08-24T01:34:46.125Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 3744982922611852098"
"2023-08-24T01:34:46.124Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 876573333724909568"
"2023-08-24T01:34:46.119Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 862043805943975936"
"2023-08-24T01:34:46.118Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -6880016264814859356"
"2023-08-24T01:34:46.117Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -2865718939562969721"
"2023-08-24T01:34:45.612Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 8792024790020424972"
