"@timestamp","message","Env","AppName"
"2023-08-23T08:48:40.605Z","DST Manager: Command sending to mobile unit: 1211059029877719040","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:39.894Z","DST Manager: Command sending to mobile unit: 1205237626227548160","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:37.431Z","DST Manager: Command sending to mobile unit: 1243323671036133376","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:35.614Z","DST Manager: Command sending to mobile unit: 1326668182816063488","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:33.202Z","DST Manager: Command sending to mobile unit: 1031683831557455872","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:31.136Z","DST Manager: Command sending to mobile unit: -2139684393352929168","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:29.300Z","DST Manager: Command sending to mobile unit: -1714548206601153489","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:28.176Z","DST Manager: Command sending to mobile unit: 1171605900751024128","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:22.529Z","DST Manager: Command sending to mobile unit: 1180279560793600000","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:22.304Z","DST Manager: Command sending to mobile unit: -5767469538829691744","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:18.575Z","DST Manager: Command sending to mobile unit: -3358531003331971397","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:16.049Z","DST Manager: Command sending to mobile unit: 1242954025199202304","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:14.011Z","DST Manager: Command sending to mobile unit: -3569917599332248240","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:13.672Z","DST Manager: Command sending to mobile unit: -4739569096431270942","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:13.387Z","DST Manager: Command sending to mobile unit: -8095217398774153496","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:11.825Z","DST Manager: Command sending to mobile unit: -7107554261249134384","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:11.116Z","DST Manager: Command sending to mobile unit: 1203054786751537152","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:09.268Z","DST Manager: Command sending to mobile unit: -7549209066335310035","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:03.614Z","DST Manager: Command sending to mobile unit: 1213911118496055296","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:03.320Z","DST Manager: Command sending to mobile unit: 1136443307887882240","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:48:01.905Z","DST Manager: Command sending to mobile unit: 1139252230987001856","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:47:59.809Z","DST Manager: Command sending to mobile unit: 1052597208582696864","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:47:59.741Z","DST Manager: Command sending to mobile unit: 3731269946527706923","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:47:55.097Z","DST Manager: Command sending to mobile unit: 2481580436684335345","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:47:51.560Z","DST Manager: Command sending to mobile unit: -3696547795134358590","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:47:49.672Z","DST Manager: Command sending to mobile unit: 8280386157773174560","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:47:48.058Z","DST Manager: Command sending to mobile unit: 1199171724857906167","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:47:47.223Z","DST Manager: Command sending to mobile unit: -4664344632345081032","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:47:43.520Z","DST Manager: Command sending to mobile unit: -5231498373066243897","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:47:41.022Z","DST Manager: Command sending to mobile unit: -2778399536903338137","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:47:39.184Z","DST Manager: Command sending to mobile unit: 262577819497222477","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:47:38.791Z","DST Manager: Command sending to mobile unit: 875413579698262016","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:47:35.718Z","DST Manager: Command sending to mobile unit: 453419282973214646","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:47:33.594Z","DST Manager: Command sending to mobile unit: 1069019874000105472","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:47:32.677Z","DST Manager: Command sending to mobile unit: -6880016264814859356","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:47:31.457Z","DST Manager: Command sending to mobile unit: 3348702057979964750","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:47:29.213Z","DST Manager: Command sending to mobile unit: 8488945698613806458","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:47:29.069Z","DST Manager: Command sending to mobile unit: 792071821646112279","DEV","DynaMiX.DeviceConfig.Services.API"
"2023-08-23T08:47:25.572Z","DST Manager: Command sending to mobile unit: -5268977814113678539","DEV","DynaMiX.DeviceConfig.Services.API"
